material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence,family
ea02b909e9,SnBiSbSe4,7,204.2989355354321,6.220270335422363,765.2904,15.406060856528626,10.185078312963851,0.1283826107442589,0.2294649293910045,0.2291359182005657,1.4046280432971636,0.9936751492027376,0.1008991844500612,0.9758187332643724,6.588680622936528,R3m,trigonal,65.29964200253282,moderate,wide,non-oxide
7b77d5ff30,NaScSnI6,9,378.3817451763693,4.160687068032361,948.08250128,8.123386745451995,4.890329341857659,0.1684398812757948,0.353715666510682,0.2493037840949782,1.4966637382762369,0.3529717430071758,0.0108064010465976,0.3596041901322975,6.690668800516265,R3,trigonal,619.1394129891926,moderate,wide,non-oxide
7a34973f56,RuPtBr6,8,256.4116995481002,5.02269425406325,775.578,10.190538375122928,3.8091264362865465,0.2396312084159013,0.4728520707893878,0.3338113317252507,2.003590136177339,0.1328427523717517,0.0013848521006121,0.124148010025763,6.738252418213627,C2,monoclinic,4865.683790518138,wide,wide,non-oxide
953d09d290,K4LiSb2Au,8,281.1903252345104,3.565798278136352,603.8207689999999,17.15621545373999,8.480962453392037,0.2137497482617717,0.240626580881037,0.2877977199246153,1.6995292580700707,0.7277706794803296,0.0533663426242876,0.7604941730868444,6.7382784518374095,C2/m,monoclinic,126.26457277157957,moderate,wide,non-oxide
86e0df8e39,CsCuMoS4,7,203.35620784415823,3.4348996653850508,420.6514519,21.856253931827133,9.007299264111278,0.3911970696863552,0.2225548241360823,0.3188299475166634,1.895760100801668,0.6869274896889223,0.055199999586882,0.7704063187633808,6.776807345474729,I-4,tetragonal,122.76824993102343,moderate,wide,non-oxide
bf20f38dc1,NaCeSnBr6,9,337.92080163517227,3.740723777844864,761.23976928,11.06382500336228,6.06487971230372,0.4579211483343264,0.2966701149983619,0.2682586772819545,1.591658188432178,0.45125408167137,0.0192890058236278,0.4710520850662997,6.777007675551067,R3,trigonal,351.34043389886114,moderate,wide,non-oxide
b9d06f4526,K4NaSb2Au,8,296.6713711922446,3.469554820240265,619.8695382799999,16.245409827312862,8.080103796605515,0.0661317514542105,0.2488950584840349,0.2866783194985713,1.6930497067708552,0.7029198236458354,0.0568716253525976,0.6677306585306358,6.782031421327209,C2/m,monoclinic,119.25158423518543,moderate,wide,non-oxide
d28a038d70,K3InI4,8,360.1126434690479,3.411021198366348,739.7307800000001,13.570363656666965,6.531438456118094,0.1037967108630185,0.2926957124277921,0.2926199591091205,1.727885759975917,0.5311722233664058,0.0334977811018336,0.4998406225420781,6.782138622038965,Pm,monoclinic,202.46530961024524,moderate,wide,non-oxide
35b68ec966,Rb2HfCuAgTe4,9,309.5848401628483,5.531323744484644,1031.2397999999998,15.20613341636148,8.892805295450332,0.3859995345642815,0.2575004378175343,0.2552942040095299,1.525739224134419,0.6824755860002927,0.0386209355500658,0.7247789130536766,6.887824572920383,C222,orthorhombic,178.3443221874164,moderate,wide,non-oxide
9f332958d5,NaNdSnI6,9,406.35225774639423,4.280021653391435,1047.36858928,6.705950166258957,4.339860091949817,0.0567704411757027,0.3903973156747419,0.2338348528666883,1.4253051803591226,0.319407861671227,0.0077041651276477,0.2985104963838595,6.909510899663641,R3,trigonal,896.8539465577722,wide,wide,non-oxide
d3b2175275,Gd2BrCl5,8,295.4840267077056,3.212622758554251,571.669,10.78281339229205,6.150787935826068,0.0831981121921298,0.3005614934642915,0.260354106925716,1.5509662164138731,0.5566963134071764,0.0305201912232037,0.5412455069440381,6.9887383539275625,P1,triclinic,228.9873711084155,moderate,wide,non-oxide
acd98d9d95,K2Ti(Te2Au)2,9,295.1644047811448,5.796817001716002,1030.396738,19.2182912726986,9.996841124504224,0.3487407660587555,0.2425543614926922,0.278346170537151,1.645993687274734,0.6953710025570787,0.0428312391503165,0.7155030361301318,7.0120485716857335,C222,orthorhombic,163.71341830846623,moderate,wide,non-oxide
ebe4491461,GaIrCl6,8,205.9973134170349,3.826205984442952,474.658,5.475624262807284,2.961179494182705,0.5417043757783948,0.5154737702852465,0.270901729759656,1.6056269912287209,0.1432360009029993,0.0009441578908943,0.1313441463623113,7.135454906378409,C2,monoclinic,7557.480560395866,wide,wide,non-oxide
3bc26bf89a,CsRb4AgBi2,8,372.6390514462936,4.458858434491224,1000.6056519,10.449274123948408,6.358143741334306,0.2332802165397119,0.3052820369067426,0.247063486362497,1.4860033775941628,0.5716810190525186,0.0248621968704715,0.5659895028483586,7.189477434067176,R-3m,trigonal,289.17305544330287,moderate,wide,non-oxide
09f6f8cefc,MgBr7,8,383.5775929379354,2.526595443148834,583.6329999999999,5.326135572030601,1.771463880996149,0.082634065534514,0.5650495653047442,0.3502977355829194,2.134055532819493,0.0597585504750904,0.0004056787144427,0.059939339667219,7.580989374465422,C2,monoclinic,18687.175601209998,wide,wide,non-oxide
0ab69c328b,TaAg(Te2Au)2,8,263.36192153157094,7.522996794746721,1193.149218,28.70224730761845,11.679877410982543,0.3292469858818787,0.2586123812528811,0.3208362633269673,1.9096589695000687,0.644844739515009,0.0431764146905365,0.5689739685978588,7.784649786326164,P-42m,tetragonal,180.29866171431792,moderate,wide,non-oxide
a107021b4a,RbNa2As2Au3,8,209.97318578515203,6.897575863640219,872.19024556,29.36241656608117,13.140185043658237,0.3981555968784921,0.2429698367244325,0.3052871969368542,1.805978626722708,0.824911429899984,0.0564632379786963,0.8036922688707675,8.580992372152563,R-3m,trigonal,151.974854424576,moderate,wide,non-oxide
7af53f2b98,NbAg(Te2Au)2,8,261.6471944980214,7.013545643493999,1105.107718,32.36090165797208,11.57517125481398,0.2243849976378631,0.2844024950424949,0.3402071024683796,2.0526387483234467,0.5713262299381057,0.0371150608636532,0.5644244231485642,8.896907963230122,P-42m,tetragonal,239.7115283176821,moderate,wide,non-oxide
a07e2bf627,Er2RhBr5,8,291.2951322729915,4.7710285076998655,836.9435,24.0166086460056,10.370645305849411,0.1334039784578428,0.2585128790878147,0.3112608709461632,1.8447376023903657,0.7466989533766933,0.0556558306669073,0.7619126116544196,8.903089477086477,P1,triclinic,159.9668780503927,moderate,wide,non-oxide
71567900ec,NaSnSbI6,9,401.14481211972463,4.242518340742423,1024.88658928,5.490599568952427,3.455777774654989,0.1016508009094192,0.4599460504028856,0.2398747074541847,1.4525516246158974,0.2210354322242401,0.0027692395994379,0.2317204468451621,8.92245269989994,R3,trigonal,3221.986534394064,wide,wide,non-oxide
8c8ae67bba,CeCdBr6,8,294.1400045135896,4.132158881431269,731.951,8.25336936020119,4.363719988220097,0.1178935142927127,0.4164356254636079,0.2752500129151282,1.629018592709938,0.2713757106573223,0.0049744244030412,0.2623569107683444,9.14562747190995,C2,monoclinic,1838.529793782489,wide,wide,non-oxide
dc166d4b9e,NaPrSnI6,9,412.6100718235165,4.201690074972626,1044.03423928,8.089759291332518,4.598659912720898,0.216507345146532,0.4113610727372396,0.2610501338874657,1.5544856187776788,0.3115855584809462,0.0059500671759335,0.32912952008029,9.195659257684229,R3,trigonal,1545.471502385437,wide,wide,non-oxide
8cd1ce9306,Rb2Pt3(SeS)2,9,251.82357382536568,6.450554762649119,978.2376,23.24400042037428,7.941817215938644,0.2584159904134878,0.3962580600299077,0.3466313867725453,2.103879589803439,0.2825338044651695,0.0057347950194632,0.2509255488043674,9.377534272078108,C2/m,monoclinic,1635.1995564360625,wide,wide,non-oxide
