material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern
76034d04ec,Ta4Br11ClO4,20,608.637223010434,4.6440579839213845,1702.1861199999998,11.872871150047349,5.208470751724676,0.054227458300987,0.0271358701454484,0.3086391355072621,1.827567744957324,0.1400893033706494,0.10135824432667,0.1399851197796373,0.1963692539753458,complex oxide (4 elements)
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.0806009583204509,0.1817361022009627,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0262012212467625,0.1343960914587737,0.8700388402702852,complex oxide (4 elements)
afb3e65ad8,Cs3RuO4,32,819.8211700181915,4.567753647295245,2255.1358228,19.84332726225817,7.531625070077854,0.0317040723554421,0.0446939606347354,0.3315364314304018,1.9865954954671228,0.1450441814369927,0.0910535687543492,0.1442665037595506,0.2248522046188832,"ternary oxide (A-B-O, other ratio)"
d3e2f2e94c,Cs6W2O9,34,843.9781312703328,5.1513747938386505,2618.2146228,22.9078116241667,8.373794013046304,0.0621209572356003,0.0585805049488452,0.3370798639440562,2.0284183906923308,0.1460397440536419,0.0766188859080006,0.1433929283565815,0.2627311549569346,"ternary oxide (A-B-O, other ratio)"
af4a5195a2,CsRb2AgO2,24,667.9524043388723,4.412257823092047,1774.8322076000002,15.601594922876158,6.230890239101966,0.0621958456272767,0.0491723249370754,0.3237726708052525,1.9302943282510483,0.1461511377564434,0.0816696292639773,0.1457778074991249,0.2471183956406925,complex oxide (4 elements)
649c94eaba,Rb2Hg(S4O13)2,37,614.5230721134322,2.821135092881491,1044.03,14.269012268435668,6.58560031708575,0.0563655884726599,0.0326630530340777,0.3000025701978537,1.7727432038173765,0.1462254401090939,0.0998634659263106,0.146639918186507,0.215965373887981,complex oxide (4 elements)
99141bee5b,Rb4Co4Cl10O,38,1107.7232685149047,2.842609819233905,1896.26676,15.419505854087124,6.37956450854438,0.0389333985746821,0.0736394437721985,0.318204873993235,1.891462567359026,0.1465010705565597,0.0694360655507092,0.1478388574120479,0.3062704172095477,complex oxide (4 elements)
975cb70c4f,AgAu(Se2O7)2,20,389.037956490736,3.6053076120882217,844.666369,14.89295457419142,5.900847293392591,0.0572553966912645,0.0468119024249273,0.3250035288399582,1.9390495815091415,0.1480490394504944,0.088660790131026,0.1478798014413909,0.2414445833415256,complex oxide (4 elements)
ac07f14d29,SbIO2F11,15,276.7874514765303,2.937545828310168,489.6457052,8.792185520700123,4.259003580433768,0.157987345939796,0.1088874834371082,0.2914676493288298,1.7210434857908572,0.1482327951829133,0.0417607585693239,0.1473180112607611,0.4529542846994315,complex oxide (4 elements)
fcee807ace,TaOF10,12,205.53445423768423,3.1260674174922367,386.931312,8.172110746514484,3.987100884699797,0.0867405170781977,0.1004356522643661,0.2901778602956102,1.7134345543118863,0.1484289293199776,0.0547693780791908,0.1455214906369921,0.3648322424363848,"ternary oxide (A-B-O, other ratio)"
783980dc96,Mn3Fe(NO3)8,36,475.15088968962834,2.5046897979603884,716.698335,14.0474351151197,6.590090915335181,0.0369096789646531,0.0621837785012079,0.2971547239310341,1.755227062930255,0.1490789889445382,0.0803254425718922,0.1506879668192436,0.281439338962091,complex oxide (4 elements)
f910e9d5ef,Mn2ZnFe(NO3)8,36,465.308206166774,2.5950391584777512,727.16929,16.448350395959572,7.127153322182554,0.0226790645129099,0.0569288667662717,0.3106904082101286,1.8409800893647996,0.150395569989082,0.0861093784813621,0.1488040490245965,0.2546116125218297,complex oxide (5 elements)
190f1461da,Rb2Re(ClO)3,36,916.284745523684,3.707866602796398,2045.9992,18.131100403084936,7.335609701397665,0.05873197336937,0.0257623316472917,0.3217461738791562,1.9160157217643528,0.1529876115200203,0.1089341598089733,0.1528279676222461,0.215003484279869,complex oxide (4 elements)
4388e44402,Au3OF7,22,417.58210409956985,5.884413155301633,1479.7758588000002,16.914496971067376,7.130611646386912,0.0295438229149258,0.0429376748428741,0.3151864651625913,1.8709253885916848,0.153190491117005,0.1013391140411568,0.1547992852669163,0.2386349300457349,"ternary oxide (A-B-O, other ratio)"
12a6af3488,CaHg(NO3)4,36,504.0480284998856,3.2198711488341165,977.3752,12.790405713403148,6.703030510646885,0.0818868623550362,0.0704209431166441,0.2769336973996213,1.6382161609282089,0.1542469824303729,0.07107201966355,0.1514935349222917,0.313603897733154,complex oxide (4 elements)
ae2f72cda2,BiSbO2F11,15,259.56366823423417,3.657546213053613,571.7216352,10.029925618569704,4.811036571810462,0.0733988497917238,0.0704400798840585,0.2932267431903069,1.7315057414746036,0.1545214786878142,0.0744954464656599,0.1547816155920867,0.3208694810357627,complex oxide (4 elements)
