material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system,space_group_order
7b04e5ba68,Na16HfTiSb8,26,804.7131483314889,3.236158256982668,1568.2733084800002,21.348595402040907,11.727422781455145,0.0161465640853136,0.0303262316058897,0.2678449361295154,1.5894882839281654,0.6043009373136369,0.4418912637451205,0.6059233349450929,0.8114592930805136,True,F-43m,216.0,cubic,96
caf5c32c5c,Na16HfTiBi8,26,857.2781965518591,4.389289461769813,2266.03650848,21.020801938146352,12.378596149355303,0.0258782123842079,0.0340177224149271,0.2538752967127337,1.5187760549023406,0.615774041852033,0.4368136229623363,0.6146533488789847,0.8479721120968784,True,F-43m,216.0,cubic,96
2fb8e5c148,Na16HfSnAs8,26,696.3582210831212,3.015115870196248,1264.4091084800002,27.23521915710459,13.133011788799278,0.0048571007225772,0.0219644701698355,0.2922839086958374,1.7258859832382134,0.6187146951918759,0.5001532066076029,0.6192339002214133,0.7571280033414721,True,F-43m,216.0,cubic,96
150feb77bf,Rb16ZrTiSb8,26,1236.971588031785,3.330089318379034,2480.6558,10.908764747980284,8.684421010210945,0.119990733306817,0.0913633912262076,0.1854284830540234,1.2316442495845208,0.6208276347875351,0.2361526759458082,0.6227161568848745,1.52934458313692,True,F-43m,216.0,cubic,96
8b3e8639c0,Na16ZrTiBi8,26,859.2862512033679,4.210393854754549,2178.77050848,20.9782951429138,12.365187788935948,0.0309520983020764,0.0396696543993696,0.2536817576553208,1.5178299863989446,0.6287685009223092,0.4306315586425981,0.637268324028505,0.92194481827195,True,F-43m,216.0,cubic,96
7abf128876,Na16ZrTiSb8,26,810.4494019343896,3.0344528495144547,1481.00730848,21.32631962778458,11.78373110971663,0.0220752935865576,0.036370338505386,0.2666978737662082,1.5834958829918706,0.633751572743243,0.446974780846135,0.6354204124393117,0.9045197985972916,True,F-43m,216.0,cubic,96
553425be40,Rb16SiSnSb8,26,1237.8287568860385,3.3381188413284764,2488.3603,11.704805543157091,9.104533579738746,0.0581840659515647,0.0771925988969762,0.1911550295745454,1.2524982951613677,0.6524212786716483,0.3258836436563299,0.6563617728837707,1.2951600937868546,True,F-43m,216.0,cubic,96
89504c85cf,InAg(RhSe2)4,14,313.2844432695282,6.710268933089344,1265.9881999999998,80.9123942612966,21.678806592358,0.0326254256257513,0.0723730940044078,0.3770187462367656,2.37705615872016,0.660016479194159,0.3134380518409861,0.6603739558417103,1.3514069342629371,True,F-43m,216.0,cubic,96
97d4e45db5,Na16HfTiAs8,26,679.7265720950288,2.9158241502331013,1193.56610848,26.6020554580875,13.368556823560413,0.0089942312950179,0.03726633737104,0.2847824544349258,1.682162306378974,0.6689995017273601,0.4612094877924383,0.665580481149008,0.9439984491068396,True,F-43m,216.0,cubic,96
8c4de3eff2,Na16HfGeAs8,26,681.7126547877143,2.967672192405165,1218.33910848,26.601816927621392,13.427020011705888,0.0085741876677195,0.0304752533874938,0.2839751553733163,1.6775589704537386,0.6711496150552986,0.4892331861938542,0.6678169945560429,0.8998474789606483,True,F-43m,216.0,cubic,96
