material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
801c8bda45,K3ReO4,8,156.46169181111577,3.900298344563921,367.4995,28.540615183358607,12.829768759655494,0.21718001080193308,0.05280710798097337,0.3045267893836756,1.8011366204283887,0.964069013668834,0.33553471782239397,0.9362450917471874,2.366973000937126,C2,monoclinic,7.054331117503072,tight,wide
11c28343d0,K3Ag(AsAu)2,8,232.9124428467485,5.482120074076639,768.939438,25.442576529306407,10.251142906122857,0.05515630126328803,0.14028503304487858,0.3223964586713412,1.9205792833071649,0.589842894412612,0.14894918143475183,0.5930118604718495,2.3712136030017605,C2/m,monoclinic,15.91961486569489,tight,wide
f3a677860c,Cs2NiPdPtSe4,9,273.701483161871,5.714166716922666,941.8483038,19.62270622107098,7.206360502732144,0.3229923500780086,0.20161980917273795,0.3364036933692627,2.0232417821870428,0.2887847795065573,0.028266741481432937,0.2966039348768893,2.377646916719582,C2/m,monoclinic,84.11464470644216,moderate,wide
ebe89027cc,Rb4LiAgAs2,8,274.938454291412,3.663205776789973,606.5236,16.842086174789127,8.76826990396295,0.18146842701339155,0.1012541928334841,0.2781851849645482,1.6451043938622547,0.790153368612137,0.22758744003366171,0.7855837964971744,2.3958839891842856,C2/m,monoclinic,10.52731200293794,tight,wide
e8483382d7,CsCu(AuSe)2,6,196.89771715861616,6.310835010748792,748.3045899,10.5817663200758,4.877066875680675,0.14551849737400618,0.24354800061229215,0.3002422796413633,1.7742299989869064,0.2625358388952026,0.02365666693165856,0.2684358678228842,2.4034303502757886,C2/m,monoclinic,101.59632196788446,moderate,wide
0cc369bda4,KNdSnI6,9,443.6805756670696,3.980217759155763,1063.47712,5.849026181915374,3.6031556540112937,0.23443285801791722,0.26416657618916883,0.2444598754807674,1.4737563457770473,0.2461142762236295,0.016098293133811028,0.23494192037488631,2.425699997219478,R3,trigonal,150.68057073236,moderate,wide
8f3701b860,Ta2RuSe6,9,203.8673989892538,7.629810990161162,936.72576,22.845361100827304,13.490893847439391,0.11216588097251035,0.10132145800650244,0.2532965193368885,1.515949479458944,0.9537174689486604,0.33065292040518063,0.9560387694740751,2.460276695813454,Cm,monoclinic,7.440662229139369,tight,wide
a5d005c70b,Cs2Os(Cl2F)2,9,275.30769163721413,3.8351753976416574,635.8497102,14.052245498613615,5.593779722082351,0.04996695867296607,0.23573901406695755,0.3242810707044444,1.9339030121619976,0.2636903622224201,0.022887971376192598,0.26665223854467995,2.4745492055067944,I4/mmm,tetragonal,108.11570692895695,moderate,wide
4212cc1a82,Zn2InBCl2O3,9,197.26837301062093,3.1595806395810184,375.3512,38.31014738170515,11.596109271031244,0.22630222999902777,0.12256582504544146,0.3625255828767723,2.239956479898038,0.5742912765375695,0.12825494357858705,0.5857948058289337,2.475035902983278,R32,trigonal,19.29778169889196,moderate,wide
7b01f82041,NdInSnI6,9,439.21192601333496,4.306988755906394,1139.19682,6.398460503801061,3.4424754920838008,0.4116190152450759,0.2785525886885468,0.2718992024143311,1.6109473520357451,0.1925982167168909,0.008987619142877462,0.18208490459361834,2.4858851686730365,R3,trigonal,276.589954375521,moderate,wide
