material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold
31b857e393,LiCd2InTe4,8,282.7566309108086,5.032774747804271,856.981,33.89615007057969,12.859881172239357,0.0213830585551971,0.0799171382130412,0.3316010235566203,1.9870748477773348,0.8644178026916577,0.4002312696163502,0.841141744446122,1.8385558584941013,I-42m,tetragonal,4.593733668677328,32.55363082885742,14.733770370483398,1.2814275995700166,1.482416946504176,False
4c752c6bf7,Na4AgSb2Au,8,212.47686112525585,5.004150344756316,640.3138461200001,29.22949993314129,12.7084248103852,0.0148646304674156,0.0744337782730054,0.3101272793995989,1.83728267645538,0.8968415942068096,0.4123607032507519,0.8705927779171082,1.8763601303913788,C2/m,monoclinic,4.550288414001432,25.53799057006836,12.880611419677734,1.0692753897946925,1.1922678393840418,False
eb86ccdf4b,LuH6Ir,8,64.14890975100391,9.661360144431532,373.23164,49.34015943264637,20.23490654609192,0.1918288618986849,0.0525177950790027,0.3196054179943553,1.901113165244648,0.8171711829129283,0.3073700204450588,0.7907385891232102,1.901389146359831,R-3m,trigonal,6.185994143497469,94.74588012695312,29.00379753112793,1.0176435653246312,1.2453248310801774,False
1268bfe16d,Cs4ZnAsP,7,322.8428038788269,3.6154944547724415,702.9261696,13.886974856172422,6.902834869399465,0.0578613709209866,0.1225837986954652,0.2867905527920271,1.6936976369310135,0.6387482657181967,0.1909200677560512,0.6478072894196385,2.055914285027169,R3m,trigonal,10.768455664147998,17.144329071044922,8.727126121520996,0.930548015366001,1.4568305940051518,True
0bba7c2e92,KMnRhF6,9,151.86960844922035,3.39972676405821,310.9322642,22.72966384149601,11.601178262016468,0.0300316104799794,0.0884506174308565,0.2819058733727874,1.6658478406785993,0.8921094198818538,0.3707065470955209,0.9047859175371128,2.065891192510688,P312,trigonal,5.5728478730599935,45.63007354736328,19.63910484313965,1.6434012312945636,1.8421520888235963,False
3705adfe61,Cs4NaAgAs2,8,325.37038820672865,4.145718505992619,812.32297688,9.332751975524191,5.931882024656624,0.1572454335073429,0.1484329600588551,0.2377604815584727,1.4429268270475522,0.5325535247115722,0.1208558383030592,0.5434979871769532,2.122179499338052,C2/m,monoclinic,17.55959438232893,15.152308464050293,10.25955581665039,1.2858612176203381,2.4145201523485413,False
44cc9d9400,NbIClO,8,209.27518949753195,4.304793374395921,542.5265,15.057897490349257,9.630557738917794,0.0515846904033893,0.0950813481441355,0.2364102865556606,1.4368296947004795,0.9387921906087464,0.3587700659685537,0.9330270216094524,2.2138291928234173,C2,monoclinic,6.170607313201709,11.780754089355469,7.2493696212768555,0.5908151380592804,1.5889778885701997,True
b7058e307d,Cs3GePPt3,8,276.3023426355211,6.536218911042363,1087.5821177,27.87648896818763,13.182489130205482,0.0527830088083093,0.0929911043267897,0.2957511189195803,1.746692915395266,0.9888919411582664,0.3744532551075577,0.9955550597121088,2.367929052930497,R3m,trigonal,6.323697339071961,40.73391342163086,14.303922653198242,0.811289598389662,1.2189136198974193,True
e7ec3eb84a,TaCu(AgSe2)2,8,225.69118321461923,5.709992751210883,776.0702799999999,32.789187799639336,14.090184555567728,0.0219391844754652,0.0890310834456326,0.312060287372058,1.850023524650119,0.9876649467039504,0.4095845844483997,0.9960096763399836,2.38621298662936,P-42m,tetragonal,5.825934562070854,24.127117156982422,12.802989959716797,1.0660603825799466,1.079374524870624,False
de403b5111,CuGeF6,8,101.79926525793626,4.080851832785903,250.1764192,32.02554006141953,13.353621016648232,0.0473371028582622,0.11379335845735,0.3169570741583419,1.8829295826750765,0.8003923203556341,0.2452839095366097,0.7978083771662499,2.3917006621450514,P-1,triclinic,9.75074421580874,19.968017578125,18.95859718322754,2.9608226754356126,3.6992142479828463,False
b7a4ca6a23,Li2SiHgTe4,8,249.68034756411663,5.007664232224989,752.9575,29.800932402235382,12.704398753125938,0.1365407424227292,0.0831646945343451,0.3133667470685848,1.858713622922256,0.9259517114928626,0.3428336873127687,0.9189372304042464,2.411231529587213,I-42m,tetragonal,7.033239785994064,26.575334548950195,16.607383728027344,2.0446679013355853,2.208179839139858,False
c9edccbfa0,K2NiAuO4,8,152.52915374772869,4.3313188011904105,397.854169,40.56554516101863,15.077534885017398,0.0606314259211575,0.095732458856961,0.3346449313736409,2.0098758447180427,0.9416222562573604,0.3495506138795745,0.932581981708004,2.435125596538529,Amm2,orthorhombic,6.9664463452422,34.962398529052734,14.284662246704102,0.9622868084262757,1.0219456921622159,True
38f8d5a52a,RbMnRhF6,9,164.3652285784101,3.609726606896678,357.3017642,22.907708921139825,10.88267734582283,0.0709596917743164,0.1278401847674642,0.2949393740645727,1.7417867881047784,0.7497643022923833,0.2028891074510394,0.7325857776213996,2.47013443118611,P312,trigonal,12.174800619999749,52.57979202270508,19.391592025756836,1.359400971144269,1.81310442093327,False
ea3922259e,HoH6Ir,8,68.47110392796728,8.808086712743918,363.19496,56.33557974050065,21.18295309446568,0.0907005056103126,0.1071492439717548,0.3329329562776161,1.997000774545292,0.8526579570296221,0.2895329556981791,0.8572321837907924,2.5034765892661865,R-3m,trigonal,8.646603227702728,105.99073028564453,38.87749099731445,2.0633338784861137,2.4198846225209527,False
3270d33809,VCu(AgS2)2,8,196.7327815842841,3.869870706294272,458.4839,34.36736249186233,12.684592823780704,0.0572241153560734,0.1139973967479975,0.3356729013520655,2.0176707861589813,0.8303726703628501,0.2652059836971226,0.8247828565076003,2.586676603067948,P-42m,tetragonal,9.753462448351284,30.43486213684082,16.66225242614746,1.8953977914535436,2.2825869144095345,False
0dc1615079,NbCu(AgSe2)2,8,223.099721339552,5.121022396941993,688.02878,33.59135739962216,13.715217525670871,0.0066362192967305,0.1091462029003801,0.3203078529179036,1.905982756188226,0.94442517410776,0.3320663665540767,0.9518836753132046,2.5980883597673565,P-42m,tetragonal,7.824003336225442,26.798816680908203,11.280694961547852,0.7279633228298604,1.2973526886443028,True
