material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
d3d0f57173,Cs2LiVTe4,16,680.2359519124411,4.072247814142719,1668.1868076,9.95085395251885,4.526896457537831,0.013881290444531,0.0521706622086269,0.3024883165967327,1.7882561063097426,0.1634234134533205,0.097848469336992,0.1639554897565354,0.2754940211382604,True,Fddd,70.0,orthorhombic
bc8ab2046a,Rb5AuCO5,24,603.8447591844034,3.939642269535901,1432.626538,23.606729751114152,8.310083245978946,0.0201051536626132,0.0329791652791439,0.3424733736500741,2.070482953485044,0.2007112734213357,0.1438205578097689,0.2011806558582168,0.2794898044501575,True,Aem2,39.0,orthorhombic
9fdae5c922,KRbSeBr6,9,316.6671391907952,3.5812535714024145,682.9501,9.912488126866538,4.5667844107727324,0.0335870343984379,0.0147740375533298,0.3003111317837122,1.7746574133227495,0.2465508585441918,0.2040381291212166,0.2474760843169752,0.2973735196717385,True,F-43m,216.0,cubic
f0f4748e06,Re6Te7Cl4,34,1046.0162253518408,6.833358348790847,4304.508,22.92156541192544,9.401853375351338,0.0978333109359716,0.0302879679413364,0.3195803686719292,1.9009398761859744,0.183647398364129,0.1079970595619403,0.1805085082047917,0.3014640761866783,True,R3c,161.0,trigonal
18f921d3f6,RbIn3Te5,36,1507.948927148146,4.7039414651930125,4271.6872,24.743190798267168,8.817661214039102,0.0721762357541054,0.047785480681938,0.3407353111440588,2.0567755885196823,0.1840514862558271,0.1084193252593714,0.1842663716380431,0.3173056282118068,True,R32,155.0,trigonal
713c31c377,Cs3TaNbBr10N,32,1235.8250726575095,3.992354013143701,2971.2346314,9.737182756311146,4.844912586045158,0.0261434281408148,0.1058205383752675,0.2866082177471665,1.6926451989226556,0.1224345566764455,0.0451690277808723,0.1229480122882934,0.3234103809425722,True,P4nc,104.0,tetragonal
c04ca4f771,Rb6AgPb8Au,16,685.537568780025,5.995638339199801,2475.241569,24.16748408002497,6.617858753782109,0.0175517374228317,0.0837244297373795,0.3745355268959459,2.352600150697305,0.1370489601612411,0.0602667989764264,0.1376327338868431,0.3263116792871542,True,Pmm2,25.0,orthorhombic
d85b58a91f,Nb2Ni2PdSe8,26,573.4385218818105,6.030702632794481,2082.59912,31.53981108012001,12.220953046405924,0.0214339826031184,0.0099960371572951,0.3284222829332885,1.963701907287868,0.2915339014838681,0.2547754394349712,0.2929070614786822,0.3327849587896761,True,Pbam,55.0,orthorhombic
0ec67d681c,Ag2HgF8,22,363.8958735767079,5.186686891679982,1136.6272512,43.21791661803523,11.724355423437874,0.061231098928431,0.0459837061164565,0.3756063882690169,2.363095362654825,0.2024994991677816,0.121638562949932,0.2018262443700726,0.3413344711843212,True,P4/mcc,124.0,tetragonal
af2e8210f8,LiS3Br,20,498.4606363210201,2.4390698003231623,732.16,10.08010916036602,4.149655759078591,0.0459301353369029,0.1061882115150014,0.3190030045915803,1.8969526419857905,0.1201525729002558,0.0395648510926779,0.1187572019076501,0.3464764929776436,True,Pmna,53.0,orthorhombic
42c141d849,Hg4SF6,22,388.2390859273842,8.112943360073245,1896.8308384,52.04189457120879,13.983431194971336,0.1083367123977349,0.0236835899360058,0.376695926589664,2.373853179503694,0.2132228463283309,0.129123759171007,0.2108573613338327,0.350075997646589,True,P4_2/nmc,137.0,tetragonal
8466df130e,K2NaSbS4,32,943.2576383298224,2.4730969514357177,1404.82547712,16.633497785944854,7.29988468175826,0.0199258984878674,0.0468463570542692,0.3085707228183323,1.8271230731568355,0.2304810066586438,0.1448821820995815,0.2296425697840439,0.363982611275545,True,Pnn2,34.0,orthorhombic
db9935db66,Rb2Ti(Te2Au)2,18,617.4335166597507,6.041171145806289,2246.271476,15.536669610492313,7.634188325037571,0.0143779865785444,0.0326516302505158,0.288893870905395,1.705911443819123,0.2741304277276208,0.2013309640202557,0.2740474937316193,0.3801748029177513,True,P4_2/mcm,132.0,tetragonal
2012c8c5d5,Rb2Hg6S7,30,853.0623324186998,6.22483640149411,3197.8612,22.735816382087982,10.707376486740214,0.0444492832348215,0.0226815729527104,0.2964759523793058,1.751091940373355,0.2867961282556259,0.2185449732936659,0.290284604353227,0.382629564483036,True,P4_2nm,102.0,tetragonal
8dee164585,K11Li(SbO4)4,32,639.8929159264516,3.062268018544147,1180.0527,41.07306009066751,11.282698599215184,0.1402131911785346,0.0284938091769491,0.3741724053161581,2.34905874558241,0.2093277796871396,0.111575230612881,0.210550881843807,0.3920254524218702,True,I-42m,121.0,tetragonal
c270147b72,CsRb4Eu3Br12,20,823.651355695301,3.809398479294898,1889.5166519,14.05241135894758,6.359832779994589,0.0460806530960347,0.0529077273872259,0.3033733325606536,1.7938305085723305,0.2386071444832394,0.1434022223561211,0.2414134739634763,0.3966393993500272,True,P-6,174.0,hexagonal
16fce7ca88,KRb7Sn8(AuSe3)8,48,1585.0744237735328,5.298626134430594,5057.825452,9.26190528260556,8.064245102161385,0.040148636583659,0.0412215824264231,0.1625835194040991,1.15316642275935,0.2796062031753474,0.1891452128638685,0.2785851424821697,0.4056827367719096,True,P4,75.0,tetragonal
4579b8802a,Rb4Ti2CuTe8Au3,18,610.2918750742105,5.748841859397084,2112.850907,15.409716385067766,8.464564442017894,0.0229021787738976,0.0099123050620821,0.2678554658670696,1.5895434522965768,0.3662047260938977,0.3228286900847503,0.3655709306305228,0.4154301983054808,True,P222,16.0,orthorhombic
de3109d6a6,Rb3(CoO2)2,36,698.1042830821624,4.169922124044299,1753.0695599999997,36.89900492582135,11.389163092227667,0.0193790055038692,0.0777052583639377,0.3600681507404074,2.21799532628449,0.1894257783529552,0.0915004029667559,0.1916188149552636,0.4161131358249633,True,Pnna,52.0,orthorhombic
7a5843f9e4,K3Rh2Cl9,28,788.6582663362609,2.7042632794459958,1284.3658,13.75561423166154,6.416515040291705,0.0697077021648296,0.0726280698206714,0.2981523739609235,1.7613324634297045,0.208583864257004,0.094120179436836,0.2064338521536411,0.4375419975404463,True,P6_3/m,176.0,hexagonal
