compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
Ga3Zr1,aflow:94298f034b0866cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ga3Zr1_ICSD_104043,139,tI8,2.19363,10.1803,397.951,11.0329,102.645,77.8581,4,7.16731
Cu1Ge6Ho2,aflow:361961d3badac26d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Cu1Ge6Ho2_ICSD_627702,38,oS18,2.19364,3.76637,316.102,25.6178,82.2454,55.1019,9,7.8304
Ho2Ni1Sn6,aflow:78cfb746fa50374a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ho2Ni1Sn6_ICSD_639513,65,oS18,2.19365,2.19898,234.04,26.2359,63.258,34.4084,9,8.12715
As4Nb4Ni4,aflow:14186a06fb066f22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As1Nb1Ni1_ICSD_610993,62,oP12,2.19366,4.31348,389.998,33.1829,197.202,75.1961,12,8.75104
Mo6Sb14,aflow:0b5dd2e20c2f9c5f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Mo3Sb7_ICSD_16823,229,cI40,2.1937,2.17027,287.932,57.3969,106.567,50.3161,20,8.35115
Te2,aflow:a8c395dc70d63e16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Te1_ICSD_52499,221,cP1,2.19456,1.28703,114.946,2.97921,49.0778,7.59925,2,6.47327
Er4P4Pd4,aflow:c80fa65cecefab92,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Er1P1Pd1_ICSD_69673,62,oP12,2.19462,3.59506,324.954,34.0269,121.268,63.2667,12,9.55549
P4Rh4Ta4,aflow:9508354e3bf3ff2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Rh1Ta1_ICSD_648003,62,oP12,2.19486,3.56041,328.052,33.9768,248.184,71.1624,12,12.1225
F6K3W1,aflow:5e165517cde92300,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6K3W1_ICSD_51264,225,cF40,2.19493,1.39127,302.774,28.619,33.3556,14.4763,10,3.54978
Mo1Zn7,aflow:16d0d25c2371c7fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo1Zn7_ICSD_130003,225,cF32,2.19521,2.89929,320.857,22.7402,98.1889,48.4029,8,8.01424
Ge1P1,aflow:a568f1b0e4ca73fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ge1P1_ICSD_17032,107,tI4,2.19535,13.439,422.059,5.4611,76.484,52.7496,2,4.71644
Ni1Sb1Yb1,aflow:fd22297be346932c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Yb1_ICSD_105332,216,cF12,2.19576,1.40019,161.999,8.87849,61.525,16.0426,3,8.90919
As2Au2Ca2,aflow:0caae8ebce6cd432,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1Au1Ca1_ICSD_107915,194,hP6,2.19584,2.34639,232.919,17.4977,59.8568,28.6543,6,7.54867
As4Ni2,aflow:b868e02c99b4e62c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Ni1_ICSD_41725,58,oP6,2.19596,3.28618,309.041,17.1097,130.999,47.5362,6,7.00846
Ga1P1,aflow:f89e741dc545ab62,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1P1_ICSD_40868,225,cF8,2.19604,2.68278,251.089,5.80499,90.05,19.2335,2,4.9177
Ba2Mo6Te6,aflow:4bbb41e61a17bf46,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba1Mo3Te3_ICSD_603674,176,hP14,2.1965,3.36118,300.993,40.0147,47.4959,28.5607,14,7.12124
Ba1Pt1Si3,aflow:8396443cd021e28d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ba1Pt1Si3_ICSD_174267,107,tI10,2.1967,6.46168,342.973,14.0907,88.0085,53.5623,5,6.95541
Ni2Sn1Ti1,aflow:0b9ebe3281b078e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sn1Ti1_ICSD_105369,225,cF16,2.19686,4.8569,323.95,11.3484,152.122,48.0586,4,8.09957
C1Rh3Sc1,aflow:d5b672c7928a8d6a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Rh3Sc1_ICSD_77385,221,cP5,2.19697,9.87466,429.915,13.5838,211.456,87.5244,5,8.80005
P12Ru4,aflow:09edfe5881c94c85,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/P3Ru1_ICSD_62420,2,aP16,2.19699,9.26468,617.163,39.2495,153.223,115.241,16,5.2011
Cu3Te4V1,aflow:15306d8245b2e1ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu3Te4V1_ICSD_629351,215,cP8,2.19726,2.49759,257.903,23.1806,27.275,15.8333,8,5.88787
F3La1,aflow:14c14d2e031b6053,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/F3La1_ICSD_155554,139,tI8,2.19727,3.49061,333.072,11.3195,121.316,35.5401,4,6.29264
Rh6Sn6Zr6,aflow:8234385853f441d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rh1Sn1Zr1_ICSD_152133,190,hP18,2.19737,2.63753,315.018,51.1906,143.26,58.7835,18,8.92203
As1Pa1,aflow:93c8fd0c34e5501b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Pa1_ICSD_44041,225,cF8,2.1974,10.8664,266.066,5.77652,115.722,57.5952,2,10.4381
Br1O1Rb3,aflow:d8062a4e068bf5b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br1O1Rb3_ICSD_77196,221,cP5,2.19783,0.773636,167.83,14.8057,16.4389,10.0861,5,3.37381
In4Sr2Te8,aflow:8da3f072c92a852f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/In2Sr1Te4_ICSD_41167,66,oS28,2.1979,1.00722,193.027,41.2009,21.7632,12.3909,14,5.33206
Ca2Si4,aflow:24502608294dc6bc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ca1Si2_ICSD_1453,141,tI12,2.19829,5.56924,464.78,16.0681,61.4176,40.0246,6,2.57827
Ge4La2Ni2,aflow:9609be0bfb8c68cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ge2La1Ni1_ICSD_636819,63,oS16,2.1983,4.07087,323.977,22.6991,94.5536,53.4267,8,7.2839
Rh4Sb4Tb4,aflow:697f4746620b47b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Rh1Sb1Tb1_ICSD_51842,62,oP12,2.19834,2.03357,243.957,34.8729,112.823,40.9145,12,9.90112
O3Re1,aflow:6e0fcf817cf44d2c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/ORe_pv/A3B_cP4_221_d_a.AB,221,cP4,2.19848,21.381,571.129,10.0905,235.955,124.589,4,7.12599
Fe1Sb1V1,aflow:742f62c662140f06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe1Sb1V1_ICSD_53539,216,cF12,2.19865,9.4013,366.042,8.37741,155.444,62.4419,3,7.80731
Pd2Si2Tb1,aflow:d92b7206eb32a15f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd2Si2Tb1_ICSD_601263,139,tI10,2.19868,5.56406,329.064,14.1562,133.218,55.5588,5,8.2936
Au1Si1Th1,aflow:8268c40e2a307c24,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1Si1Th1_ICSD_75032,187,hP3,2.19871,8.67995,271.997,8.64835,118.182,61.3441,3,10.9435
Dy1P1Pt1,aflow:f8e0aa93cf029501,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1P1Pt1_ICSD_53373,187,hP3,2.19903,5.95419,259.033,8.68336,127.903,46.5847,3,11.356
Ni2P2Tb1,aflow:3e396b5753d5e0b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2P2Tb1_ICSD_646159,139,tI10,2.19911,10.315,446.984,13.4902,150.245,88.9996,5,8.0474
C1Ge1Ni3,aflow:8cb52726233f2379,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ge1Ni3_ICSD_77001,221,cP5,2.19912,4.30191,374.921,13.9184,192.094,54.0073,5,8.0864
P2Ru2Y1,aflow:1391d154ba0d221b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P2Ru2Y1_ICSD_602128,139,tI10,2.19917,16.3747,507.864,13.0692,162.028,101.024,5,7.47916
Cl2F12Pb7,aflow:7374050d72dfb2b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cl2F12Pb7_ICSD_10402,174,hP21,2.19919,0.675226,224.974,61.3788,40.159,15.4356,21,7.65747
Cl1O4Tl1,aflow:986d832938067b89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1O4Tl1_ICSD_33564,216,cF24,2.19948,1.9836,285.185,17.2568,13.6278,5.04714,6,4.27761
Bi1Dy1Pd1,aflow:f69858831f64c836,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi1Dy1Pd1_ICSD_616637,216,cF12,2.1995,4.05397,206.011,8.80072,80.2444,36.1744,3,10.5405
