compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
Ca1In1,aflow:a36c707fe5266d6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1In1_ICSD_58905,221,cP2,2.0502,3.74338,218.115,5.85571,33.5778,19.1404,2,4.46529,aflow_a36c707fe5266d6f.poscar
Bi4Rb12Se12,aflow:13aa186ae78de3e3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Bi1Rb3Se3_ICSD_85411,198,cP28,2.05028,0.365827,160.006,82.9281,11.4072,6.01102,28,4.19248,aflow_13aa186ae78de3e3.poscar
As4K12Se12,aflow:17d4f25a9a0997c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1K3Se3_ICSD_50492,198,cP28,2.05036,0.46922,208.076,82.1772,13.5165,7.06944,28,2.9436,aflow_17d4f25a9a0997c1.poscar
Ag1La1,aflow:fdbdd132b64b5e94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1La1_ICSD_58306,123,tP2,2.05092,2.3113,158.953,5.92171,36.7466,12.6245,2,7.07308,aflow_fdbdd132b64b5e94.poscar
P4S12Th2,aflow:ee26a5a779ae915c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/P2S6Th1_ICSD_35299,84,tP18,2.05183,2.32028,342.066,50.7247,18.6713,9.4316,18,3.09825,aflow_ee26a5a779ae915c.poscar
Bi4K12Se12,aflow:c254a1e890738c41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Bi1K3Se3_ICSD_78841,198,cP28,2.05251,0.455595,187.986,82.5062,13.2031,7.10923,28,3.82105,aflow_c254a1e890738c41.poscar
Br32Si8,aflow:d2a45d24273ee835,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br4Si1_ICSD_260324,205,cP40,2.05305,1.26789,293.005,114.739,0.666667,0.712742,40,2.62255,aflow_d2a45d24273ee835.poscar
Bi1Na1,aflow:d3618ed7c3ce4ee7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Bi1Na1_ICSD_58816,123,tP2,2.05499,1.96675,153.925,5.92883,30.3974,14.1892,2,6.69754,aflow_d3618ed7c3ce4ee7.poscar
C1Ru1,aflow:66a8421bcf7958af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_181771,216,cF8,2.05583,2.23473,226.009,5.83602,251.078,18.5393,2,7.9601,aflow_66a8421bcf7958af.poscar
Ag8Sr8,aflow:2216102577d683b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ag1Sr1_ICSD_58358,62,oP16,2.05797,0.530057,164.944,47.3523,27.1099,13.5338,16,5.01505,aflow_2216102577d683b9.poscar
Bi2Li2Zn2,aflow:b729e654befeb54e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi1Li1Zn1_ICSD_100115,186,hP6,2.05902,1.21502,184.918,17.6914,38.975,18.3225,6,6.90434,aflow_b729e654befeb54e.poscar
Bi1Li1,aflow:d80a8198ef249337,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Bi1Li1_ICSD_58796,123,tP2,2.06019,1.15101,134.915,5.94558,37.2932,10.2563,2,7.51436,aflow_d80a8198ef249337.poscar
Na4S4,aflow:0e6cd1ae0109c5c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na1S1_ICSD_644958,194,hP8,2.06021,2.04933,352.874,22.521,25.728,15.1286,8,2.03739,aflow_0e6cd1ae0109c5c4.poscar
Hg4Sr6,aflow:b6cf0b50f4b3e8e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Hg2Sr3_ICSD_107371,127,tP10,2.06024,0.466483,127.014,29.7619,23.8286,10.2611,10,5.96498,aflow_b6cf0b50f4b3e8e7.poscar
Cl4Zn2,aflow:99a7fbd5d338f233,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cl2Zn1_ICSD_15916,122,tI12,2.06025,3.49317,328.932,17.0179,10.2831,7.20121,6,2.86908,aflow_99a7fbd5d338f233.poscar
F6K2Si1,aflow:71d6809fb16b4ac2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6K2Si1_ICSD_29407,225,cF36,2.0603,2.62856,427.13,24.5409,20.0278,8.1701,9,2.61226,aflow_71d6809fb16b4ac2.poscar
