rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
101,c635459bbc,Rb4RuO4,9,C2/m,monoclinic,0.633,0.5949,0.633,0.1074,0.6212,2.8329,26.38,wide,False,c635459bbc,25.12418336547029,10.491491548826817,2.1638966823014907,0.4611127263891614,23.301945,10.647758,2.18724,0.4596899326628618,0.4611127263891614,0.234098287358982
102,bf1f5d1c8c,Rb2HPtI5,9,I4mm,tetragonal,0.4385,0.3253,0.4385,0.0538,0.4291,2.908,54.03,wide,False,bf1f5d1c8c,14.9192863774956,6.321635042505489,2.405863888199516,0.1997918752776646,12.512691,5.018555,2.3108125,0.1555880058357011,0.1997918752776646,0.2274443296114482
103,bcf3ef5d3b,CsK2SbO4,8,I-42m,tetragonal,0.4514,0.3574,0.4514,0.0645,0.4533,2.9482,45.7,wide,False,bcf3ef5d3b,29.45624386592341,12.824891714703227,2.128750439061723,0.7606988716230123,25.60149,14.723957,2.1681042,0.8939796618075111,0.7606988716230123,0.763564631801939
104,c379a102ce,Cs2NbFeS4,8,C2,monoclinic,0.4065,0.6223,0.6223,0.0434,0.4062,3.0027,69.13,wide,False,c379a102ce,40.14172984063144,16.561037919992593,2.075484918346709,1.3469485605454925,41.598263,12.022035,2.0807345,0.8342221214984383,1.3469485605454925,0.4283659473001125
105,50b5380512,Rb3Cu(AsAu)2,8,C2/m,monoclinic,0.2814,0.4374,0.4374,0.0248,0.2942,3.0467,122.68,wide,False,50b5380512,22.473781786194174,12.012722875818728,2.2799876282454825,0.5100890186760074,23.844887,13.436853,2.323908,0.5767842409197531,0.5100890186760074,0.1695752570243215
106,aee435bf21,ErFeBr6,8,R3,trigonal,0.1884,0.0616,0.1884,0.0084,0.1809,3.0754,365.14,wide,False,aee435bf21,6.386528704896981,5.180854091442914,2.1950086937596542,0.2042399496702019,9.543697,4.2975593,2.16324,0.1615723942271485,0.2042399496702019,0.0594795137358336
107,9daac5bf43,Rb3Cu2P2Au,8,C2/m,monoclinic,0.6628,0.5739,0.6628,0.1217,0.6647,3.0848,25.35,wide,False,9daac5bf43,22.55291336078904,11.355956137140716,2.231484863254693,0.5224881377100123,23.015617,9.727768,2.260472,0.4039615470405271,0.5224881377100123,0.1772280090678766
108,ea1ef1cad3,K2RbCu(AgP)2,8,C2/m,monoclinic,0.9275,0.2246,0.9275,0.2454,0.9003,3.1123,12.68,wide,False,ea1ef1cad3,23.775864002425056,13.044379608913848,2.231046088374155,0.7036485047449919,23.45934,10.684129,2.2281234,0.525338162788926,0.7036485047449919,0.1875434034545372
109,88350da99f,NaScSnBr6,9,R3,trigonal,0.4676,0.1122,0.4676,0.0412,0.4704,3.1584,76.57,wide,False,88350da99f,11.96156905651887,6.292147347619648,2.212133060522424,0.2516544036791003,15.356603,5.341738,2.2071302,0.1995673597529038,0.2516544036791003,0.0633769623411814
110,1ea216bb3c,Er2CuBr5,8,P1,triclinic,0.4539,0.2781,0.4539,0.0658,0.4576,3.1918,48.49,wide,False,1ea216bb3c,19.975997098707687,11.225995555623214,2.179171654507602,0.6361921661198079,25.745256,12.110078,2.2574832,0.6618213400252785,0.6361921661198079,0.2317490169452685
